start_time,gate_width,centroid,mean,mean_error,area,area_error
0,2,630,629.95,0.0615323,3651.73,153.013
0,2,834,834.022,0.0263451,14802.7,226.742
0,2,1464,1463.78,0.00590616,97430.2,349.096
0,4,630,629.879,0.0500106,6263.15,202.705
0,4,834,834.025,0.0195237,24781.6,291.001
0,4,1464,1463.79,0.00457404,161365,449.253
0,6,630,629.864,0.0403754,8995.13,237.664
0,6,834,834.021,0.0160162,34483.6,340.957
0,6,1464,1463.78,0.00391349,220476,524.941
0,8,630,629.889,0.0361001,11472.2,268.4
0,8,834,834.008,0.0148587,43802.1,381.018
0,8,1464,1463.78,0.00351363,273229,584.416
0,10,630,629.887,0.0353371,13912.4,292.109
0,10,834,834.01,0.0129117,52486.1,418.1
0,10,1464,1463.79,0.00325608,318758,631.633
0,12,630,629.878,0.0348041,15993,312.394
0,12,834,834.007,0.0293611,60287,0
0,12,1464,1463.78,0.00308032,357172,668.973
0,14,630,629.895,0.0285393,18088.9,331.841
0,14,834,833.996,0.0113682,66893.1,469.744
0,14,1464,1463.78,0.00300634,379587,527.291
0,16,630,629.888,0.0278527,19968,349.711
0,16,834,833.99,0.0108584,73124.1,489.788
0,16,1464,1463.77,0.00299139,390335,534.449
0,18,630,629.894,0.0343474,21516.2,360.538
0,18,834,833.992,0.0104566,78399.3,506.021
0,18,1464,1463.77,0.0029828,398306,540.603
0,20,630,629.898,0.0263861,22928.8,371.729
0,20,834,833.992,0.0101102,83162.1,518.258
0,20,1464,1463.76,0.0029786,404276,545.412
0,22,630,629.893,0.0240711,24050.5,379.992
0,22,834,833.99,2.67431,87118.1,0
0,22,1464,1463.76,0.0029755,408336,549.034
0,24,630,629.886,0.0235467,25110.3,388.099
0,24,834,833.982,0.00965445,90719.7,543.461
0,24,1464,1463.76,0.00297502,411307,551.835
0,26,630,629.884,0.0260212,26083,395.791
0,26,834,833.982,0.0102976,93678.4,548.584
0,26,1464,1463.76,0.00297466,413293,553.914
0,28,630,629.879,0.022479,26912.5,400.409
0,28,834,833.977,0.00945626,96237.4,555.895
0,28,1464,1463.75,0.00297527,414723,555.495
0,30,630,629.874,0.022286,27579.4,404.609
0,30,834,833.975,0.00939355,98428.6,561.272
0,30,1464,1463.75,0.00297612,415742,556.769
0,32,630,629.872,0.0251879,28157.9,410.512
0,32,834,833.973,0.00922599,100242,566.038
0,32,1464,1463.75,0.00297762,416529,557.822
0,34,630,629.867,0.0212922,28690.7,410.434
0,34,834,833.973,0.0091612,101700,569.887
0,34,1464,1463.75,0.00297891,417083,558.693
0,36,630,629.866,0.0216159,29167.6,414.826
0,36,834,833.971,0.00954701,103018,573.146
0,36,1464,1463.75,0.0029798,417480,559.336
0,38,630,629.865,0.0213956,29623.8,417.741
0,38,834,833.97,0.00902381,104193,575.994
0,38,1464,1463.75,0.00298093,417826,559.926
0,40,630,629.865,0.0250437,29996.4,434.952
0,40,834,833.969,0.00899932,105262,578.696
0,40,1464,1463.75,0.00298196,418098,560.449
0,42,630,629.866,0.0212261,30414.2,423.286
0,42,834,833.968,0.00934146,106232,580.305
0,42,1464,1463.75,0.00298289,418379,560.852
0,44,630,629.861,0.0222985,30647.7,426.684
0,44,834,833.966,0.00894175,107043,583.593
0,44,1464,1463.75,0.00298392,418607,561.304
0,46,630,629.862,0.0212472,31013.6,427.169
0,46,834,833.966,0.00923283,107709,584.964
0,46,1464,1463.75,0.00298462,418796,561.693
0,48,630,629.859,0.0209072,31257.6,428.709
0,48,834,833.964,0.00910298,108413,586.511
0,48,1464,1463.75,0.00298558,418999,562.121
0,50,630,629.858,0.0209332,31460.4,429.963
0,50,834,833.962,0.00899519,109069,587.85
0,50,1464,1463.75,0.00298637,419156,562.47
0,52,630,629.856,0.0207716,31752.8,431.775
0,52,834,833.961,0.00880046,109548,588.846
0,52,1464,1463.74,0.00298706,419302,562.746
0,54,630,629.851,0.0212287,31972.7,435.99
0,54,834,833.96,0.0093367,110152,590.667
0,54,1464,1463.74,0.00298758,419409,563.007
0,56,630,629.852,0.0209886,32192.2,435.443
0,56,834,833.96,0.00883038,110526,590.278
0,56,1464,1463.74,0.00298812,419531,563.258
0,58,630,629.85,0.0213723,32367.5,436.315
0,58,834,833.959,0.00889046,110960,592.588
0,58,1464,1463.74,0.00298864,419636,563.471
0,60,630,629.85,0.0220469,32498.6,438.838
0,60,834,833.96,0.00874445,111338,593.689
0,60,1464,1463.74,0.00298893,419738,563.667
0,62,630,629.848,0.0212138,32671,438.16
0,62,834,833.959,0.00874003,111608,594.51
0,62,1464,1463.74,0.0029893,419849,563.891
0,64,630,629.85,0.0207609,32801.4,440.096
