start_time,gate_width,centroid,mean,mean_error,area,area_error
0,2,630,630.388,0.434909,65.1413,20.4011
0,2,834,834.137,0.136051,368.238,36.7588
0,2,1464,1463.67,0.0377004,2502.91,59.0105
0,4,630,630.059,0.507365,87.163,32.3567
0,4,834,834.137,0.118864,664.531,52.4831
0,4,1464,1463.7,0.0294479,4204.51,76.2363
0,6,630,629.979,0.44667,157.354,42.6923
0,6,834,834.148,0.0995532,923.79,61.5292
0,6,1464,1463.72,0.0258638,5689.55,88.627
0,8,630,630.02,0.326336,187.944,45.6061
0,8,834,834.112,0.0980088,1161.27,0
0,8,1464,1463.74,0.0231383,7066.42,98.8258
0,10,630,629.87,0.272168,240.876,46.1394
0,10,834,834.093,0.0824023,1404.86,74.666
0,10,1464,1463.75,0.0217659,8202.55,106.809
0,12,630,630.03,0.21943,267.707,50.0444
0,12,834,834.076,0.0800679,1618.96,80.118
0,12,1464,1463.75,0.0206897,9167.38,113.08
0,14,630,630.073,0.211751,292.799,53.0761
0,14,834,834.074,0.0792634,1829.52,84.7566
0,14,1464,1463.75,0.0197503,9942,117.7
0,16,630,630.029,0.207771,301.053,54.5035
0,16,834,834.066,0.0879955,2035.07,88.8475
0,16,1464,1463.76,0.0192417,10564.9,121.371
0,18,630,630.003,0.192935,327.522,54.9435
0,18,834,834.037,0.0711094,2202.43,91.9764
0,18,1464,1463.75,0.01879,11013.4,123.976
0,20,630,630.067,0.183996,335.481,46.7981
0,20,834,834.047,0.0695206,2312.44,94.2188
0,20,1464,1463.75,0.0185684,11341.2,126.006
0,22,630,630.091,0.177494,347.631,47.7834
0,22,834,834.035,0.0704639,2435.14,96.3435
0,22,1464,1463.75,0.0183448,11586.1,127.455
0,24,630,630.142,0.175256,365.47,48.7709
0,24,834,834.026,0.0669276,2551.22,98.155
0,24,1464,1463.74,0.0182224,11739.9,128.384
0,26,630,630.097,0.166939,392.001,49.7663
0,26,834,834.023,0.0624182,2608.08,99.1607
0,26,1464,1463.74,0.0181068,11881.4,129.185
0,28,630,630.096,0.162414,414.47,50.5622
0,28,834,834.018,0.0635138,2657.95,99.5183
0,28,1464,1463.74,0.0180902,11973,129.839
0,30,630,630.103,0.166399,409.608,50.9793
0,30,834,834.024,0.0615377,2712.34,100.889
0,30,1464,1463.74,0.0180671,12029.8,130.249
0,32,630,630.119,0.161822,422.004,51.4383
0,32,834,834.015,0.0592972,2757.3,101.149
0,32,1464,1463.73,0.0180816,12077.4,130.672
0,34,630,630.116,0.164476,419.592,51.8539
0,34,834,834.012,0.0588003,2811.44,102.068
0,34,1464,1463.73,0.0180764,12110.6,130.901
0,36,630,630.151,0.171564,429.909,52.2938
0,36,834,834.012,0.0615624,2844.58,102.75
0,36,1464,1463.73,0.018085,12125.8,131.058
0,38,630,630.152,0.17587,427.163,52.559
