start_time,end_time,integral_left,integral_right,integral_total
0,0,17877,18318,36195
0,10,189034,197129,386163
0,20,285986,296825,582811
0,30,326964,339434,666398
0,40,346621,359485,706106
0,50,358857,372243,731100
0,60,367529,381305,748834
0,70,374366,388345,762711
0,80,379638,393746,773384
0,90,383555,397808,781363
0,100,386452,400740,787192
0,110,388604,402841,791445
0,120,390302,404663,794965
0,130,391802,406211,798013
0,140,393185,407636,800821
0,150,394470,408951,803421
0,160,395619,410070,805689
0,170,396754,411204,807958
0,180,397804,412306,810110
0,190,398863,413343,812206
0,200,399851,414320,814171
0,210,400793,415284,816077
0,220,401725,416197,817922
0,230,402674,417163,819837
0,240,403566,418102,821668
0,250,404440,419029,823469
0,260,405348,419948,825296
0,270,406229,420859,827088
0,280,407094,421768,828862
0,290,407972,422707,830679
0,300,408873,423652,832525
0,310,409771,424611,834382
0,320,410670,425615,836285
0,330,411628,426595,838223
0,340,412569,427611,840180
0,350,413524,428642,842166
0,360,414507,429670,844177
0,370,415443,430606,846049
0,380,416357,431622,847979
0,390,417301,432532,849833
0,400,418224,433465,851689
0,410,419112,434387,853499
0,420,420042,435270,855312
0,430,420935,436137,857072
0,440,421761,437066,858827
0,450,422684,437990,860674
0,460,423583,438882,862465
0,470,424450,439894,864344
0,480,425345,440843,866188
0,490,426240,441839,868079
0,500,427193,442771,869964
0,510,428119,443729,871848
0,520,429054,444657,873711
0,530,430002,445637,875639
0,540,430934,446571,877505
0,550,431928,447517,879445
0,560,432861,448504,881365
0,570,433814,449503,883317
0,580,434833,450462,885295
0,590,435797,451404,887201
0,600,436815,452350,889165
0,610,437831,453295,891126
0,620,438827,454290,893117
0,630,439861,455282,895143
0,640,440876,456290,897166
0,650,441811,457190,899001
0,660,442699,458105,900804
0,670,443632,459064,902696
0,680,444521,459992,904513
0,690,445479,460911,906390
0,700,446334,461859,908193
0,710,447177,462849,910026
0,720,448086,463791,911877
0,730,448997,464729,913726
0,740,449863,465616,915479
0,750,450671,466549,917220
0,760,451549,467538,919087
0,770,452427,468483,920910
0,780,453253,469431,922684
0,790,454119,470292,924411
0,800,455003,471152,926155
0,810,455895,471998,927893
0,820,456760,472912,929672
0,830,457620,473761,931381
0,840,458506,474640,933146
0,850,459364,475547,934911
0,860,460194,476432,936626
0,870,460973,477276,938249
0,880,461816,478166,939982
0,890,462634,479071,941705
0,900,463445,480007,943452
0,910,464267,480958,945225
0,920,465088,481806,946894
0,930,465930,482682,948612
0,940,466806,483548,950354
0,950,467621,484395,952016
0,960,468460,485267,953727
0,970,469315,486138,955453
0,980,470154,486999,957153
0,990,470919,487823,958742
0,1000,471707,488688,960395
0,1010,472507,489573,962080
0,1020,473296,490409,963705
0,1030,474115,491273,965388
0,1040,474898,492108,967006
0,1050,475699,492971,968670
0,1060,476497,493835,970332
0,1070,477380,494685,972065
0,1080,478203,495607,973810
0,1090,479004,496482,975486
0,1100,479843,497372,977215
0,1110,480708,498228,978936
0,1120,481547,499079,980626
0,1130,482368,499931,982299
0,1140,483209,500721,983930
0,1150,484024,501562,985586
0,1160,484862,502412,987274
0,1170,485696,503299,988995
0,1180,486495,504171,990666
0,1190,487295,505044,992339
0,1200,488104,505957,994061
0,1210,488969,506820,995789
0,1220,489778,507660,997438
0,1230,490595,508524,999119
0,1240,491453,509357,1000810
0,1250,492284,510251,1002535
0,1260,493114,511107,1004221
0,1270,493969,512044,1006013
0,1280,494832,512922,1007754
0,1290,495727,513815,1009542
0,1300,496612,514705,1011317
0,1310,497499,515572,1013071
0,1320,498330,516435,1014765
0,1330,499161,517313,1016474
0,1340,500015,518153,1018168
0,1350,500878,519012,1019890
0,1360,501681,519892,1021573
0,1370,502609,520782,1023391
0,1380,503467,521675,1025142
0,1390,504345,522572,1026917
0,1400,505178,523414,1028592
0,1410,506081,524281,1030362
0,1420,506968,525167,1032135
0,1430,507838,526061,1033899
0,1440,508733,526978,1035711
0,1450,509588,527769,1037357
0,1460,510459,528624,1039083
0,1470,511317,529473,1040790
0,1480,512235,530317,1042552
0,1490,513088,531188,1044276
0,1500,513908,532089,1045997
0,1510,514775,532938,1047713
0,1520,515621,533810,1049431
0,1530,516451,534704,1051155
0,1540,517237,535516,1052753
0,1550,518099,536345,1054444
0,1560,518991,537306,1056297
0,1570,519835,538201,1058036
0,1580,520601,539106,1059707
0,1590,521459,540044,1061503
0,1600,522283,540926,1063209
0,1610,523249,541838,1065087
0,1620,524076,542708,1066784
0,1630,524936,543563,1068499
0,1640,525800,544463,1070263
0,1650,526668,545389,1072057
0,1660,527538,546285,1073823
0,1670,528398,547139,1075537
0,1680,529262,548020,1077282
0,1690,530117,548890,1079007
0,1700,530932,549801,1080733
0,1710,531777,550750,1082527
0,1720,532620,551640,1084260
0,1730,533457,552496,1085953
0,1740,534270,553397,1087667
0,1750,535132,554267,1089399
0,1760,535989,555132,1091121
0,1770,536866,556001,1092867
0,1780,537731,556865,1094596
0,1790,538581,557788,1096369
0,1800,539464,558675,1098139
0,1810,540320,559536,1099856
0,1820,541192,560402,1101594
0,1830,542060,561250,1103310
0,1840,542882,562102,1104984
0,1850,543750,562995,1106745
0,1860,544587,563863,1108450
0,1870,545436,564723,1110159
0,1880,546263,565648,1111911
0,1890,547153,566540,1113693
0,1900,547964,567456,1115420
0,1910,548822,568311,1117133
0,1920,549650,569190,1118840
0,1930,550541,570072,1120613
0,1940,551383,570971,1122354
0,1950,552203,571807,1124010
0,1960,552991,572682,1125673
0,1970,553847,573597,1127444
0,1980,554645,574494,1129139
0,1990,555463,575452,1130915
10,10,14198,15142,29340
10,20,111150,114838,225988
10,30,152128,157447,309575
10,40,171785,177498,349283
10,50,184021,190256,374277
10,60,192693,199318,392011
10,70,199530,206358,405888
10,80,204802,211759,416561
10,90,208719,215821,424540
10,100,211616,218753,430369
10,110,213768,220854,434622
10,120,215466,222676,438142
10,130,216966,224224,441190
10,140,218349,225649,443998
10,150,219634,226964,446598
10,160,220783,228083,448866
10,170,221918,229217,451135
10,180,222968,230319,453287
10,190,224027,231356,455383
10,200,225015,232333,457348
10,210,225957,233297,459254
10,220,226889,234210,461099
10,230,227838,235176,463014
10,240,228730,236115,464845
10,250,229604,237042,466646
10,260,230512,237961,468473
10,270,231393,238872,470265
10,280,232258,239781,472039
10,290,233136,240720,473856
10,300,234037,241665,475702
10,310,234935,242624,477559
10,320,235834,243628,479462
10,330,236792,244608,481400
10,340,237733,245624,483357
10,350,238688,246655,485343
10,360,239671,247683,487354
10,370,240607,248619,489226
10,380,241521,249635,491156
10,390,242465,250545,493010
10,400,243388,251478,494866
10,410,244276,252400,496676
10,420,245206,253283,498489
10,430,246099,254150,500249
10,440,246925,255079,502004
10,450,247848,256003,503851
10,460,248747,256895,505642
10,470,249614,257907,507521
10,480,250509,258856,509365
10,490,251404,259852,511256
10,500,252357,260784,513141
10,510,253283,261742,515025
10,520,254218,262670,516888
10,530,255166,263650,518816
10,540,256098,264584,520682
10,550,257092,265530,522622
10,560,258025,266517,524542
10,570,258978,267516,526494
10,580,259997,268475,528472
10,590,260961,269417,530378
10,600,261979,270363,532342
10,610,262995,271308,534303
10,620,263991,272303,536294
10,630,265025,273295,538320
10,640,266040,274303,540343
10,650,266975,275203,542178
10,660,267863,276118,543981
10,670,268796,277077,545873
10,680,269685,278005,547690
10,690,270643,278924,549567
10,700,271498,279872,551370
10,710,272341,280862,553203
10,720,273250,281804,555054
10,730,274161,282742,556903
10,740,275027,283629,558656
10,750,275835,284562,560397
10,760,276713,285551,562264
10,770,277591,286496,564087
10,780,278417,287444,565861
10,790,279283,288305,567588
10,800,280167,289165,569332
10,810,281059,290011,571070
10,820,281924,290925,572849
10,830,282784,291774,574558
10,840,283670,292653,576323
10,850,284528,293560,578088
10,860,285358,294445,579803
10,870,286137,295289,581426
10,880,286980,296179,583159
10,890,287798,297084,584882
10,900,288609,298020,586629
10,910,289431,298971,588402
10,920,290252,299819,590071
10,930,291094,300695,591789
10,940,291970,301561,593531
10,950,292785,302408,595193
10,960,293624,303280,596904
10,970,294479,304151,598630
10,980,295318,305012,600330
10,990,296083,305836,601919
10,1000,296871,306701,603572
10,1010,297671,307586,605257
10,1020,298460,308422,606882
10,1030,299279,309286,608565
10,1040,300062,310121,610183
10,1050,300863,310984,611847
10,1060,301661,311848,613509
10,1070,302544,312698,615242
10,1080,303367,313620,616987
10,1090,304168,314495,618663
10,1100,305007,315385,620392
10,1110,305872,316241,622113
10,1120,306711,317092,623803
10,1130,307532,317944,625476
10,1140,308373,318734,627107
10,1150,309188,319575,628763
10,1160,310026,320425,630451
10,1170,310860,321312,632172
10,1180,311659,322184,633843
10,1190,312459,323057,635516
10,1200,313268,323970,637238
10,1210,314133,324833,638966
10,1220,314942,325673,640615
10,1230,315759,326537,642296
10,1240,316617,327370,643987
10,1250,317448,328264,645712
10,1260,318278,329120,647398
10,1270,319133,330057,649190
10,1280,319996,330935,650931
10,1290,320891,331828,652719
10,1300,321776,332718,654494
10,1310,322663,333585,656248
10,1320,323494,334448,657942
10,1330,324325,335326,659651
10,1340,325179,336166,661345
10,1350,326042,337025,663067
10,1360,326845,337905,664750
10,1370,327773,338795,666568
10,1380,328631,339688,668319
10,1390,329509,340585,670094
10,1400,330342,341427,671769
10,1410,331245,342294,673539
10,1420,332132,343180,675312
10,1430,333002,344074,677076
10,1440,333897,344991,678888
10,1450,334752,345782,680534
10,1460,335623,346637,682260
10,1470,336481,347486,683967
10,1480,337399,348330,685729
10,1490,338252,349201,687453
10,1500,339072,350102,689174
10,1510,339939,350951,690890
10,1520,340785,351823,692608
10,1530,341615,352717,694332
10,1540,342401,353529,695930
10,1550,343263,354358,697621
10,1560,344155,355319,699474
10,1570,344999,356214,701213
10,1580,345765,357119,702884
10,1590,346623,358057,704680
10,1600,347447,358939,706386
10,1610,348413,359851,708264
10,1620,349240,360721,709961
10,1630,350100,361576,711676
10,1640,350964,362476,713440
10,1650,351832,363402,715234
10,1660,352702,364298,717000
10,1670,353562,365152,718714
10,1680,354426,366033,720459
10,1690,355281,366903,722184
10,1700,356096,367814,723910
10,1710,356941,368763,725704
10,1720,357784,369653,727437
10,1730,358621,370509,729130
10,1740,359434,371410,730844
10,1750,360296,372280,732576
10,1760,361153,373145,734298
10,1770,362030,374014,736044
10,1780,362895,374878,737773
10,1790,363745,375801,739546
10,1800,364628,376688,741316
10,1810,365484,377549,743033
10,1820,366356,378415,744771
10,1830,367224,379263,746487
10,1840,368046,380115,748161
10,1850,368914,381008,749922
10,1860,369751,381876,751627
10,1870,370600,382736,753336
10,1880,371427,383661,755088
10,1890,372317,384553,756870
10,1900,373128,385469,758597
10,1910,373986,386324,760310
10,1920,374814,387203,762017
10,1930,375705,388085,763790
10,1940,376547,388984,765531
10,1950,377367,389820,767187
10,1960,378155,390695,768850
10,1970,379011,391610,770621
10,1980,379809,392507,772316
10,1990,380627,393465,774092
20,20,6460,6779,13239
20,30,47438,49388,96826
20,40,67095,69439,136534
20,50,79331,82197,161528
20,60,88003,91259,179262
20,70,94840,98299,193139
20,80,100112,103700,203812
20,90,104029,107762,211791
20,100,106926,110694,217620
20,110,109078,112795,221873
20,120,110776,114617,225393
20,130,112276,116165,228441
20,140,113659,117590,231249
20,150,114944,118905,233849
20,160,116093,120024,236117
20,170,117228,121158,238386
20,180,118278,122260,240538
20,190,119337,123297,242634
20,200,120325,124274,244599
20,210,121267,125238,246505
20,220,122199,126151,248350
20,230,123148,127117,250265
20,240,124040,128056,252096
20,250,124914,128983,253897
20,260,125822,129902,255724
20,270,126703,130813,257516
20,280,127568,131722,259290
20,290,128446,132661,261107
20,300,129347,133606,262953
20,310,130245,134565,264810
20,320,131144,135569,266713
20,330,132102,136549,268651
20,340,133043,137565,270608
20,350,133998,138596,272594
20,360,134981,139624,274605
20,370,135917,140560,276477
20,380,136831,141576,278407
20,390,137775,142486,280261
20,400,138698,143419,282117
20,410,139586,144341,283927
20,420,140516,145224,285740
20,430,141409,146091,287500
20,440,142235,147020,289255
20,450,143158,147944,291102
20,460,144057,148836,292893
20,470,144924,149848,294772
20,480,145819,150797,296616
20,490,146714,151793,298507
20,500,147667,152725,300392
20,510,148593,153683,302276
20,520,149528,154611,304139
20,530,150476,155591,306067
20,540,151408,156525,307933
20,550,152402,157471,309873
20,560,153335,158458,311793
20,570,154288,159457,313745
20,580,155307,160416,315723
20,590,156271,161358,317629
20,600,157289,162304,319593
20,610,158305,163249,321554
20,620,159301,164244,323545
20,630,160335,165236,325571
20,640,161350,166244,327594
20,650,162285,167144,329429
20,660,163173,168059,331232
20,670,164106,169018,333124
20,680,164995,169946,334941
20,690,165953,170865,336818
20,700,166808,171813,338621
20,710,167651,172803,340454
20,720,168560,173745,342305
20,730,169471,174683,344154
20,740,170337,175570,345907
20,750,171145,176503,347648
20,760,172023,177492,349515
20,770,172901,178437,351338
20,780,173727,179385,353112
20,790,174593,180246,354839
20,800,175477,181106,356583
20,810,176369,181952,358321
20,820,177234,182866,360100
20,830,178094,183715,361809
20,840,178980,184594,363574
20,850,179838,185501,365339
20,860,180668,186386,367054
20,870,181447,187230,368677
20,880,182290,188120,370410
20,890,183108,189025,372133
20,900,183919,189961,373880
20,910,184741,190912,375653
20,920,185562,191760,377322
20,930,186404,192636,379040
20,940,187280,193502,380782
20,950,188095,194349,382444
20,960,188934,195221,384155
20,970,189789,196092,385881
20,980,190628,196953,387581
20,990,191393,197777,389170
20,1000,192181,198642,390823
20,1010,192981,199527,392508
20,1020,193770,200363,394133
20,1030,194589,201227,395816
20,1040,195372,202062,397434
20,1050,196173,202925,399098
20,1060,196971,203789,400760
20,1070,197854,204639,402493
20,1080,198677,205561,404238
20,1090,199478,206436,405914
20,1100,200317,207326,407643
20,1110,201182,208182,409364
20,1120,202021,209033,411054
20,1130,202842,209885,412727
20,1140,203683,210675,414358
20,1150,204498,211516,416014
20,1160,205336,212366,417702
20,1170,206170,213253,419423
20,1180,206969,214125,421094
20,1190,207769,214998,422767
20,1200,208578,215911,424489
20,1210,209443,216774,426217
20,1220,210252,217614,427866
20,1230,211069,218478,429547
20,1240,211927,219311,431238
20,1250,212758,220205,432963
20,1260,213588,221061,434649
20,1270,214443,221998,436441
20,1280,215306,222876,438182
20,1290,216201,223769,439970
20,1300,217086,224659,441745
20,1310,217973,225526,443499
20,1320,218804,226389,445193
20,1330,219635,227267,446902
20,1340,220489,228107,448596
20,1350,221352,228966,450318
20,1360,222155,229846,452001
20,1370,223083,230736,453819
20,1380,223941,231629,455570
20,1390,224819,232526,457345
20,1400,225652,233368,459020
20,1410,226555,234235,460790
20,1420,227442,235121,462563
20,1430,228312,236015,464327
20,1440,229207,236932,466139
20,1450,230062,237723,467785
20,1460,230933,238578,469511
20,1470,231791,239427,471218
20,1480,232709,240271,472980
20,1490,233562,241142,474704
20,1500,234382,242043,476425
20,1510,235249,242892,478141
20,1520,236095,243764,479859
20,1530,236925,244658,481583
20,1540,237711,245470,483181
20,1550,238573,246299,484872
20,1560,239465,247260,486725
20,1570,240309,248155,488464
20,1580,241075,249060,490135
20,1590,241933,249998,491931
20,1600,242757,250880,493637
20,1610,243723,251792,495515
20,1620,244550,252662,497212
20,1630,245410,253517,498927
20,1640,246274,254417,500691
20,1650,247142,255343,502485
20,1660,248012,256239,504251
20,1670,248872,257093,505965
20,1680,249736,257974,507710
20,1690,250591,258844,509435
20,1700,251406,259755,511161
20,1710,252251,260704,512955
20,1720,253094,261594,514688
20,1730,253931,262450,516381
20,1740,254744,263351,518095
20,1750,255606,264221,519827
20,1760,256463,265086,521549
20,1770,257340,265955,523295
20,1780,258205,266819,525024
20,1790,259055,267742,526797
